fooditem,price,hotel
Avocado,Poached eggs,600
Full english breakfast,750,Acacia Premier Hotel
Mocha,200,Acacia Premier Hotel
Hot chocolate,300,Acacia Premier Hotel
Matcha Latte,450,Acacia Premier Hotel
Seasonal fruit salad,650,Acacia Premier Hotel
Baked chicken with kales,1000,Acacia Premier Hotel
Vegetable rice with fish fillet stew,1650,Acacia Premier Hotel
Fried tilapia with millet ugali and vegetables,1800,Acacia Premier Hotel
French fries,650,Acacia Premier Hotel
Vegetable salad mixed with soya sauce/vinegar,765,Acacia Premier Hotel
Chocolate mousse,890,Acacia Premier Hotel
Mango lasse,675,Acacia Premier Hotel
Cre'me brulee,1000,Acacia Premier Hotel
Coconut sorbet,1200,Acacia Premier Hotel
Fruit Salad,650,Hilton Hotel Nairobi
Porridge with soya/almond/rice/cashew milk,975,Hilton Hotel Nairobi
Flavoured mint tea,400,Hilton Hotel Nairobi
Latte,350,Hilton Hotel Nairobi
Deep fried prawns dipped in soy sauce &vinegar,1500,Hilton Hotel Nairobi
Millet ugali with beef stew,700,Hilton Hotel Nairobi
Fried rice with vegetables,875,Hilton Hotel Nairobi
Brown rice,chicken stew & spinach,900
Baked chicken with hot chilli sauce,1450,Hilton Hotel Nairobi
Fish pilau,Lettuce,salad dressing in vinegar
Lobster with coconut sauce dipping,2300,Hilton Hotel Nairobi
Fruit cake-slice,450,Hilton Hotel Nairobi
Chocolate mousse,780,Hilton Hotel Nairobi
Mango/pineapple cocktail,500,Hilton Hotel Nairobi
Lemon cake with chocolate cream,1050,Hilton Hotel Nairobi
Chocolate Latte,500,Intercontinental Hotel
Blackk peppermint Tea,750,Intercontinental Hotel
Ice Tea,385,Intercontinental Hotel
Black Pudding and confit chicken leg,1600,Intercontinental Hotel
Roasted lamb with sprouting broccoli,2700,Intercontinental Hotel
Carrots and roasted chestnuts,1450,Intercontinental Hotel
Confit chicken leg,780,Intercontinental Hotel
Fritto misto with crispy red peppers,2400,Intercontinental Hotel
Salad of squash and sweet potatoes,1700,Intercontinental Hotel
Fillets with fresh peas& lemon juice,1450,Intercontinental Hotel
Strawberry cheesecake mousse,950,Intercontinental Hotel
Chocolate tarts,700,Intercontinental Hotel
